Cartola de Cuenta Corriente
Titular:;Juan Perez
Cuenta:;****1234
Periodo:;01-07-2026 al 31-07-2026

Fecha;Descripcion;Cargo;Abono;Saldo
01-07-2026;ABONO REMUNERACION EMPRESA XYZ;;1.850.000;2.100.000
02-07-2026;COMPRA JUMBO LAS CONDES;45.990;;2.054.010
03-07-2026;COMPRA COPEC ESTACION 45;38.000;;2.016.010
05-07-2026;PAGO NETFLIX.COM;9.900;;2.006.110
07-07-2026;COMPRA UBER TRIP;6.500;;1.999.610
09-07-2026;COMPRA FARMACIA CRUZ VERDE;12.340;;1.987.270
12-07-2026;TRANSFERENCIA A JUANITA;120.000;;1.867.270
15-07-2026;COMPRA LIDER MAIPU;67.520;;1.799.750
18-07-2026;COMPRA RESTAURANT DON PEPE;28.900;;1.770.850
21-07-2026;COMPRA FALABELLA PLAZA OESTE;135.000;;1.635.850
25-07-2026;PAGO SPOTIFY;5.900;;1.629.950
28-07-2026;COMPRA SHELL PROVIDENCIA;40.000;;1.589.950
